nu_cm1,Cs_cm2_molec_cm1,Cf_cm2_molec_cm1,self_texp
11220.0,1.009000e-29,8.546000e-31,2.969000
11230.0,8.833000e-30,6.667000e-31,3.148000
11240.0,7.907000e-30,5.313000e-31,3.300000
11250.0,7.079000e-30,4.301000e-31,3.429000
11260.0,6.514000e-30,3.525000e-31,3.550000
11270.0,5.823000e-30,2.974000e-31,3.642000
11280.0,5.312000e-30,2.520000e-31,3.721000
11290.0,4.883000e-30,2.094000e-31,3.797000
11300.0,4.458000e-30,1.753000e-31,3.866000
11310.0,4.094000e-30,1.490000e-31,3.918000
11320.0,3.734000e-30,1.238000e-31,3.992000
11330.0,3.458000e-30,1.062000e-31,4.054000
11340.0,3.205000e-30,9.244000e-32,4.117000
11350.0,2.962000e-30,8.033000e-32,4.180000
11360.0,2.733000e-30,7.035000e-32,4.237000
11370.0,2.532000e-30,6.101000e-32,4.318000
11380.0,2.351000e-30,5.289000e-32,4.400000
11390.0,2.187000e-30,4.631000e-32,4.482000
11400.0,2.034000e-30,4.064000e-32,4.567000
11410.0,1.889000e-30,3.587000e-32,4.648000
11420.0,1.764000e-30,3.166000e-32,4.735000
11430.0,1.648000e-30,2.828000e-32,4.813000
11440.0,1.541000e-30,2.543000e-32,4.886000
11450.0,1.443000e-30,2.294000e-32,4.958000
11460.0,1.355000e-30,2.081000e-32,5.022000
